Level,Type,Vocabulary,Meaning,Emoji
N4,Noun,tokkyuu (特急),limited express (train; faster than an express),🌧️
N4,Noun,uriba (売り場),selling area,💰
N4,Noun,kare (彼),he; him​; his,👨
N4,Noun,seibutsu (生物),living thing,📦
N4,Noun,otaku (お宅),your home,🏠
N4,Noun,ji (字),character,🔤
N4,Noun,akusesarii (アクセサリー),accessory,💍
N4,Noun,kumo (雲),cloud,☁️
N4,Noun,kimi (君),You,👤
N4,Noun,taipu (タイプ),type;style,⌨️
N4,Noun,kakkou (格好),appearance,👂
N4,Noun,gomi (ごみ),rubbish,🗑️
N4,Noun,tekisuto (テキスト),text; textbook,📖
N4,Noun,kougai (郊外),suburb; residential area on the outskirt of a city,🏘️
N4,Noun,shima (島),island,🏝️
N4,Noun,shinbunsha (新聞社),newspaper company,📄
N4,Noun,manga (漫画),comic,📚
N4,Noun,shikata (仕方),way; method,🤔
N4,Noun,yubi (指),finger,👆
N4,Noun,keizai (経済),finance; economy,💰
N4,Noun,netsu (熱),fever,🤒
N4,Noun,mizuumi (湖),lake,🏞️
N4,Noun,jiten (辞典),dictionary,📕
N4,Noun,gasu (ガス),petrol,⛽
N4,Noun,tooku (遠く),distant,🔭
N4,Noun,kaijou (会場),assembly hall; meeting place; venue; grounds,💼
N4,Noun,oya (親),parents,👨‍👩‍👦
N4,Noun,otsuri (お釣り),change (for a purchase)​,💴
N4,Noun,dentou (電灯),electric light,💡
N4,Noun,uso (嘘),a lie,❌
N4,Noun,keshiki (景色),scenery,🖼️
N4,Noun,basho (場所),place,📍
N4,Noun,saikin (最近),recently,🕐
N4,Noun,bai (倍),double,✖️2️⃣
N4,Noun,kikai (機会),chance; opportunity,🎯
N4,Noun,koujou (工場),factory,🏭
N4,Noun,mannaka (真ん中),middle; centre; center,🚪
N4,Noun,sutereo (ステレオ),stereo,🔊
N4,Noun,shi (市),city,🏙️
N4,Noun,suutsu (スーツ),suit,👔
N4,Noun,chi (血),blood,🩸
N4,Noun,hige (髭),beard,🐻
N4,Noun,waapuro (ワープロ),word processor,⌨️
N4,Noun,bijutsukan (美術館),art gallery; art museum,🏛️
N4,Noun,asobi (遊び),playing,🎮
N4,Noun,tenkiyohou (天気予報),weather forecast,🍽️
N4,Noun,chiri (地理),geography,🗺️
N4,Noun,jishin (地震),earthquake,👂
N4,Noun,shimin (市民),citizen,👥
N4,Noun,ude (腕),arm,💪
N4,Noun,shourai (将来),future,⏭️
N4,Noun,sustsukeesu (スーツケース),suitcase,🧳
N4,Noun,daitai (大体),roughly,≈
N4,Noun,wariai (割合),rate; ratio,📊
N4,Noun,hikidashi (引き出し),drawer,🗄️
N4,Noun,handobaggu (ハンドバッグ),handbag,✋
N4,Noun,ito (糸),thread,📖
N4,Noun,ningyou (人形),doll,🪆
N4,Noun,buchou (部長),manager; head (chief; director) of a section or department,🧠
N4,Noun,tochuu (途中),on the way,🛤️
N4,Noun,oyogikata (泳ぎ方),way of swimming,🏊
N4,Noun,bunka (文化),culture,🎭
N4,Noun,guai (具合),condition; health,💊
N4,Noun,momen (木綿),cotton (material),👕
N4,Noun,nodo (喉),throat,🗣️
N4,Noun,bunpou (文法),grammar,📖
N4,Noun,sofuto (ソフト),soft,☁️
N4,Noun,yu (湯),hot water,💧
N4,Noun,juudou (柔道),judo,🥋
N4,Noun,jinja (神社),Shinto shrine,⛩️
N4,Noun,minato (港),harbour,⚓
N4,Noun,igai (以外),with the exception of; excepting,🚫
N4,Noun,keeki (ケーキ),cake,🎂
N4,Noun,kisetsu (季節),season,🌊
N4,Noun,hiruyasumi (昼休み),lunch break; noon recess; noon rest period,🍱
N4,Noun,katachi (形),shape,🔷
N4,Noun,mushi (虫),insect,🐛
N4,Noun,ichido (一度),once; one time; on one occasion,1️⃣
N4,Noun,koudou (講堂),auditorium,🏛️
N4,Noun,kokoro (心),heart,👂
N4,Noun,kondo (今度),this time; next time,⏰
N4,Noun,haisha (歯医者),dentist,🦷
N4,Noun,sen (線),line,➖
N4,Noun,otto (夫),husband,👨
N4,Noun,boku (僕),I (used by males),👦
N4,Noun,kachou (課長),section manager; section chief,👨
N4,Noun,kubi (首),neck,👤
N4,Noun,shougakkou (小学校),elementary school,🏫
N4,Noun,ki (気),spirit,🌬️
N4,Noun,kyaku (客),guest; customer,👔
N4,Noun,sukuriin (スクリーン),screen,🖥️
N4,Noun,suidou (水道),water supply,💧
N4,Noun,esukareetaa (エスカレーター),escalator,🛗
N4,Noun,kabe (壁),wall,🧱
N4,Noun,karera (彼ら),they; them,👥
N4,Noun,reji (レジ),cashier​,🛒
N4,Noun,umare (生まれ),birth,👶
N4,Noun,seiyou (西洋),the west; Western countries,🧭
N4,Noun,denpou (電報),telegram,🦵
N4,Noun,keshigomu (消しゴム),eraser,🧹
N4,Noun,hiruma (昼間),daytime; during the day,⏰
N4,Noun,repooto (レポート),report,📋
N4,Noun,kaeri (帰り),return; coming back,🔄
N4,Noun,musume (娘),daughter,👧
N4,Noun,kotori (小鳥),small bird,🐦
N4,Noun,seki (席),seat,🌊
N4,Noun,tokoya (床屋),barber,💈
N4,Noun,kangofu (看護婦),female nurse,👩‍⚕️
N4,Noun,kotae (答え),response,💬
N4,Noun,yume (夢),dream,💤
N4,Noun,hayashi (林),woods; forest,🌲
N4,Noun,shumi (趣味),hobby; pastime; preference,⏰
N4,Noun,kome (米),(husked grains of) rice,🌧️
N4,Noun,okurimono (贈り物),present; gift,🎁
N4,Noun,ten'in (店員),employee (of a store); shop assistant; clerk,🏪
N4,Noun,piano (ピアノ),piano,🎹
N4,Noun,goshujin (ご主人),your husband; her husband,👨
N4,Noun,ojousan (お嬢さん),(another's) daughter,👧
N4,Noun,rekishi (歴史),history,📜
N4,Noun,ryokan (旅館),traditional inn; Japanese-style lodging,🏨
N4,Noun,konya (今夜),this evening; tonigh,🌆
N4,Noun,koumuin (公務員),government worker,💼
N4,Noun,koutsuu (交通),traffic,🚦
N4,Noun,anaunsaa (アナウンサー),announcer,🎙️
N4,Noun,beru (ベル),bell,🔔
N4,Noun,omote (表),the front,⏩
N4,Noun,oto (音),sound; note,🔊
N4,Noun,chikara (力),energy; force; strength; might; power,💪
N4,Noun,inaka (田舎),countryside,🌍
N4,Noun,shuukan (習慣),habit; custom; cultural practice.,🎯
N4,Noun,nedan (値段),price; cost,🍚
N4,Noun,paato (パート),part; part time,⏰
N4,Noun,arukooru (アルコール),alcohol,🍺
N4,Noun,jimusho (事務所),office,🏢
N4,Noun,riyuu (理由),reason,👦
N4,Noun,koukou (高校),senior high school; high school​,🏫
N4,Noun,akachan (赤ちゃん),baby; infant,👶
N4,Noun,sangyou (産業),industry,🏭
N4,Noun,kaigishitsu (会議室),conference room; conference hall; council room,🎤
N4,Noun,futon (布団),Japanese bedding; futon,🛏️
N4,Noun,saka (坂),slope; hill,⛰️
N4,Noun,inai (以内),within,📏
N4,Noun,dansei (男性),man; male,👨
N4,Noun,you (用),business; task; errand; use; purpose,🚌
N4,Noun,shachou (社長),company president; manager; director,👨
N4,Noun,shousetsu (小説),novel,📖
N4,Noun,ikimono (生き物),living thing,📦
N4,Noun,saigo (最後),end; last,🔚
N4,Noun,ha (葉),leaves; leaf,🍃
N4,Noun,jiko (事故),accident,💥
N4,Noun,sobo (祖母),grandmother,👩
N4,Noun,yubiwa (指輪),finger ring,👆
N4,Noun,doubutsuen (動物園),zoo; zoological gardens,🏡
N4,Noun,omimai (お見舞い),visiting ill or distressed people,🏥
N4,Noun,tsuki (月),moon,🌙
N4,Other,kun (君),suffix for familiar young male,👶
N4,Other,chan (ちゃん),suffix for familiar female person,👦
N4,Other,a (あ),Ah; oh,😮
N4,Other,korekara (これから),after this,➡️
N4,Other,isshoukenmei (一生懸命),very hard; with utmost effort,💪
N4,Other,sore de (それで),because of that,🎩
N4,Verb,hikidasu (引き出す),to withdraw,💸
N4,Verb,isogu (急ぐ),to hurry; to rush; to hasten; to make something happen sooner,🖊️
N4,Verb,okonau (行う),to perform; to do; to carry out,🚗
N4,Verb,okureru (遅れる),to be late,⏰
N4,Verb,oreru (折れる),to break; to be broken,💔
N4,Verb,tsukamaeru (捕まえる),to catch,🐱
N4,Verb,kuraberu (比べる),to compare,⚖️
N4,Verb,koshou (故障),to break-down,⬇️
N4,Verb,suteru (捨てる),to throw away,🗑️
N4,Verb,kangaeru (考える),to think,🤔
N4,Verb,junbi (準備),to prepare,📋
N4,Verb,yakeru (焼ける),to burn; to be roasted,🔥
N4,Verb,sagaru (下がる),to get down,📥
N4,Verb,hanami (花見),cherry blossom viewing; flower viewing,🌸
N4,Verb,tomeru (止める),to stop something,🔝
N4,Verb,nyuuin (入院),hospitalization,🏥
N4,Verb,genin (原因),cause,❓
N4,Verb,housou (放送),to broadcast,📻
N4,Verb,itasu (致す),(humble) to do,🙇
N4,Verb,yaseru (痩せる),to become thin,👋
N4,Verb,keiken (経験),to experience,📊
N4,Verb,nyuugaku (入学),entry to school or university; enrollment,🏫
N4,Verb,hiraku (開く),to open; to undo; to unseal; to unpack,🌊
N4,Verb,yorokobu (喜ぶ),to be delighted,😄
N4,Verb,yaku (焼く),to bake; to grill,🍳
N4,Verb,yogoreru (汚れる),to get dirty,📥
N4,Verb,kazaru (飾る),to decorate,🎀
N4,Verb,tsureru (連れる),to take (someone) with one,1️⃣
N4,Verb,okuru (送る),to send,📤
N4,Verb,nebou (寝坊),sleeping in late; oversleeping,😴
N4,Verb,kowareru (壊れる),to be broken,💔
N4,Verb,nokoru (残る),to remain,⏳
N4,Verb,futoru (太る),to become fat,👋
N4,Verb,sashiageru (差し上げる),to give,🎁
N4,Verb,yureru (揺れる),to shake,📳
N4,Verb,mawaru (回る),to go around,🚶
N4,Verb,mitsukaru (見つかる),to be found; to be discovered,🔴
N4,Verb,fakkusu (ファックス),fax,📠
N4,Verb,mousu (申す),to be called; to say,💯
N4,Verb,tai'in (退院),leaving hospital; discharge from hospital,🏥
N4,Verb,nakunaru (亡くなる),to die,💀
N4,Verb,sensou (戦争),war,⚔️
N4,Verb,tsuku (付く),to be attached,📎
N4,Verb,arubaito (アルバイト),part-time job,💼
N4,Verb,geshuku (下宿),lodging,🏠
N4,Verb,youi (用意),preparation; arrangements; provision; getting ready,📖
N4,Verb,omoidasu (思い出す),to remember,💭
N4,Verb,mairu (参る),(humble) to go; to come,🚶
N4,Verb,iken (意見),opinion; view; comment,💬
N4,Verb,chuusha (注射),injection,💉
N4,Verb,shippai (失敗),failure,❌
N4,Verb,mieru (見える),to be seen; to be in sight; to look; to seem,👀
N4,Verb,suberu (滑る),to slide; to slip,🛝
N4,Verb,naru (鳴る),to sound,🔊
N4,Verb,mukau (向かう),to head towards,🧠
N4,Verb,hakobu (運ぶ),to carry,🚗
N4,Verb,kaiwa (会話),conversation,💬
N4,Verb,wareru (割れる),to break,💥
N4,Verb,okoru (怒る),to be angry,😠
N4,Verb,tsudzuku (続く),to continue,➡️
N4,Verb,honyaku (翻訳),translation,🌐
N4,Verb,sawaru (触る),to touch,✋
N4,Verb,kamau (構う),to mind,🤷
N4,Verb,nareru (慣れる),to get used to,📥
N4,Verb,tariru (足りる),to be sufficient; to be enough,✔️
N4,Verb,kawaru (変わる),to change,🔄
N4,Verb,todokeru (届ける),to send​,📤
N4,Verb,sawagu (騒ぐ),to make noise;to be excited,🔊
N4,Verb,kyuukou (急行),hurrying (to somewhere); rushing; hastening,🔢
N4,Verb,enryo (遠慮),reserve; refraining,🌧️
N4,Verb,ugoku (動く),to move,🏃
N4,Verb,soudan (相談),to discuss,💬
N4,Verb,ikiru (生きる),to live,🫁
N4,Verb,atsumaru (集まる),to gather; to collect; to assemble,👥
N4,Verb,reibou (冷房),air conditioning,❄️
N4,Verb,furidasu (降り出す),to start to rain,⭐
N4,Verb,wakareru (別れる),to separate,👋
N4,Verb,sagasu (探す),to look for,👀
N4,Verb,tsukeru (漬ける),to soak; to pickle,🥒
N4,Verb,tooru (通る),to go through,🚶
N4,Verb,fueru (増える),to increase,📈
N4,Verb,kega (怪我),to injure,🤕
N4,Verb,seisan (生産),production,🏭
N4,Verb,kyousou (競争),competition,🏁
N4,Verb,seikatsu (生活),to live,🏡
N4,Verb,kudasaru (下さる),(respectful) to give,🎁
N4,Verb,tasu (足す),to add (numbers / something),🔢
N4,Verb,nageru (投げる),to throw or cast away,⚾
N4,Verb,suiei (水泳),swimming,🏊
N4,Verb,renraku (連絡),to contact; to get in touch​,📥
N4,Verb,kankei (関係),relationship,🚢
N4,Verb,annai (案内),to guide,ℹ️
N4,Verb,waku (沸く),to boil,♨️
N4,Verb,naku naru (無くなる),to disappear; to get lost,👂
N4,Verb,tsutsumu (包む),to wrap,🎁
N4,Verb,shiken (試験),examination,✍️
N4,Verb,chuui (注意),caution,⚠️
N4,Verb,kougi (講義),lecture,👨‍🏫
N4,Verb,yamu (止む),to stop,🔝
N4,Verb,homeru (褒める),to praise,👏
N4,Verb,nemuru (眠る),to sleep,😴
N4,Verb,gochisou (ごちそう),a feast,🧭
N4,Verb,kimaru (決まる),to be decided,✔️
N4,Verb,aisatsu (挨拶),to greet,👋
N4,Verb,machigaeru (間違える),to make a mistake (in),❌
N4,Verb,komu (込む),to be crowded,🚶‍♀️🚶‍♂️🚶
N4,Verb,hikkosu (引っ越す),to move house,🏠
N4,Verb,kaeru (変える),to change; to transform,🔄
N4,Verb,yoshuu (予習),preparation for a lesson,👦
N4,Verb,hikaru (光る),to shine,✨
N4,Verb,torikaeru (取り替える),to exchange; to swap; to replace,🔄
N4,Verb,kaigi (会議),meeting; conference; session; assembly,💼
N4,Verb,yotei (予定),plan,📆
N4,Verb,kayou (通う),to commute,🚶‍♂️
N4,Verb,fukushuu (復習),review (of learned material); revision,👂
N4,Verb,shikaru (叱る),to scold,🧊
N4,Verb,tazuneru (訪ねる),to visit,🚶
N4,Verb,goran ni naru (ご覧になる),(respectful) to see,👀
N4,Verb,tsudzukeru (続ける),to continue; to keep up; to keep on,⬆️
N4,Verb,shiraberu (調べる),to investigate,🔍
N4,Verb,oide ni naru (お出でになる),(respectful) to be,🙏
N4,Verb,sumu (済む),to finish,✅
N4,Verb,ueru (植える),to plant; to grow,🌱
N4,Verb,meshiagaru (召し上がる),to eat; to drink​,🥤
N4,Verb,naoru (治る),to be cured; to heal,🔴
N4,Verb,modoru (戻る),to turn back,⏪
N4,Verb,maniau (間に合う),to be in time (for),⏰
N4,Verb,danbou (暖房),heating,🍽️
N4,Verb,nuru (塗る),to paint; to plaster,😣
N4,Verb,inoru (祈る),to pray,🙏
N4,Verb,nigeru (逃げる),to escape,🏃‍♂️
N4,Verb,shiraseru (知らせる),to notify,📢
N4,Verb,utsusu (写す),to copy or photograph,📷
N4,Verb,nureru (濡れる),to get wet,📥
N4,Verb,mukaeru (迎える),to go out to meet,🚶
N4,Verb,hirou (拾う),to pick up,⬆️
N4,Verb,sodateru (育てる),to rear;to bring up,👂
N4,Verb,tsutaeru (伝える),to report; to tell,📣
N4,Verb,ijimeru (いじめる),to tease,🍵
N4,Verb,ukagau (伺う),to visit,🚶‍♂️
N4,Verb,erabu (選ぶ),to choose,☑️
N4,Verb,oru (折る),to break or to fold,📜
N4,Verb,itadaku (頂く),(humble) to receive,📦
N4,Verb,ukeru (受ける),to take a lesson or test,👦
N4,Verb,henji (返事),reply; answer; response,✅
N4,Verb,kimeru (決める),to decide,✅
N4,Verb,kamu (噛む),to bite;to chew,🦷
N4,Verb,kenbutsu (見物),sightseeing; visit,👀
N4,Verb,fumu (踏む),to step on,👣
N4,Verb,yakunitatsu (役に立つ),to be helpful,👍
N4,Verb,kowasu (壊す),to break,🔨
N4,Verb,kikoeru (聞こえる),to be heard; to be audible; to be said,👂
N4,Verb,kenkyuu (研究),research,🌊
N4,Verb,taoreru (倒れる),to fall (over; down),⬇️
N4,Verb,wakasu (沸かす),to boil; to heat,🍽️
N4,Verb,tetsudau (手伝う),to help; to assist; to aid​,🤝
N4,Verb,kenka (喧嘩),to quarrel,🤜
N4,Verb,ossharu (仰る),(respectful) to say,🗨️
N4,Verb,otosu (落とす),to drop,⬇️
N4,Verb,warau (笑う),to laugh; to smile,😂
N4,Verb,susumu (進む),to make progress,⏩
N4,Verb,yoru (寄る),to visit; to drop by,🚶
N4,Verb,suku (空く),to be hungry,🤤
N4,Verb,yoyaku (予約),reservation,📅
N4,Verb,nusumu (盗む),to steal,🍵
N4,Verb,sotsugyou (卒業),graduation,🎓
N4,Verb,oriru (下りる),to get off,📥
N4,Verb,tateru (建てる),to build,🏗️
N4,Verb,naku (泣く),to weep,😢
N4,Verb,harau (払う),to pay,💳
N4,Verb,mitsukeru (見つける),to discover; to find; to come across; to detect; to spot,👋
N4,Verb,keikaku (計画),to plan,📅
N4,Verb,chekku (チェック),to check,✅
N4,Verb,sageru (下げる),to lower,⬇️
N4,Verb,okosu (起こす),to wake,⏰
N4,Verb,norikaeru (乗り換える),to change between buses or trains,🌧️
N4,Verb,kawaku (乾く),to get dry,📥
N4,Verb,tanjou (誕生),birth,👶
N4,Verb,haiken (拝見),seeing; looking at​,👑
N4,Verb,katadzukeru (片付ける),to tidy up,⬆️
N4,Verb,moushiageru (申し上げる),to say; to offer,🙇‍♂️
N4,Verb,tomaru (泊まる),to stay at,🛏️
N4,Verb,kureru (暮れる),to get dark,📥
N4,Verb,kyouiku (教育),education,🐱
N4,Verb,hatsuon (発音),pronunciation,🗣️
N4,Verb,utsuru (移る),to move house or transfer,🏠
N4,Verb,shoukai (紹介),introduction,👥
N4,Verb,rusu (留守),absence,🏠
N4,Verb,ochiru (落ちる),to fall or drop,💯
N4,Verb,ayamaru (謝る),to apologize,🙇
N4,Verb,atsumeru (集める),to collect; to assemble; to gather,📚
N4,Verb,agaru (上がる),to rise,⬆️
N4,Verb,setsumei (説明),explanation,🌍
N4,Verb,boueki (貿易),trade,💱
N4,Verb,tazuneru (尋ねる),to ask,❓
N4,Verb,oiwai (お祝い),congratulation,🎉
N4,Verb,makeru (負ける),to lose,😞
N4,Verb,odoroku (驚く),to be surprised,😲
N4,Verb,shiai (試合),match;game,🎮
N4,Verb,odoru (踊る),to dance,💃
N4,Verb,shoujiru (生じる),to produce,⚡
N4,Verb,niru (似る),to be similar,≈
N4,Verb,yakusoku (約束),promise,🤝
N4,Verb,utsu (打つ),to hit,👊
N4,Verb,naoru (直る),to be fixed;to be repaired,🔴
N4,Verb,katsu (勝つ),to win,🏆
N4,Verb,hieru (冷える),to grow cold,🧊
N4,Verb,tsuru (釣る),to fish,🐟
N4,Verb,riyou (利用),use; utilization; application,🐱
N5,Adjective,hontou (本当),truth; reality; actuality; fact,✅
N5,Adjective,tabun (多分),perhaps; probably,🤔
N5,Adjective,tooi (遠い),far,🔭
N5,Adjective,akai (赤い),red; crimson; scarlet​,🚗
N5,Adjective,karai (辛い),spicy,🌶️
N5,Adjective,taihen (大変),very; greatly; terribly; serious; difficult,🍽️
N5,Adjective,sukunai (少ない),few; a little; scarce; insufficient; seldom,🚗
N5,Adjective,itai (痛い),painful; sore​,😣
N5,Adjective,yasui (安い),cheap; inexpensive,🖊️
N5,Adjective,nurui (温い),luke warm,💪
N5,Adjective,sono (その),that,🎩
N5,Adjective,kuroi (黒い),black,⚫
N5,Adjective,hikui (低い),short;low,📏
N5,Adjective,marui (丸い),round;circular,⭕
N5,Adjective,hima (暇),free time,⏰
N5,Adjective,atsui (熱い),hot,🔥
N5,Adjective,chiisai (小さい),small; little; tiny,⬇️
N5,Adjective,kono (この),this​,👉
N5,Adjective,ano (あの),that,🎩
N5,Adjective,ookii (大きい),big; large; great; important,🍽️
N5,Adjective,muzukashii (難しい),difficult,😰
N5,Adjective,karui (軽い),light,🪶
N5,Adjective,genki (元気),lively; full of spirit; energetic; healthy,📥
N5,Adjective,isogashii (忙しい),busy,🚌
N5,Adjective,shizuka (静か),quiet,🤫
N5,Adjective,omoi (重い),heavy,⚖️
N5,Adjective,futoi (太い),fat; thick,⬛
N5,Adjective,furui (古い),old (not used for people),📜
N5,Adjective,samui (寒い),cold,🧊
N5,Adjective,yoi/ii (良い),good,🚶
N5,Adjective,usui (薄い),thin; weak,📄
N5,Adjective,atatakai (暖かい),warm,💪
N5,Adjective,omoshiroi (面白い),interesting,😌
N5,Adjective,wakai (若い),young,👶
N5,Adjective,suzushii (涼しい),refreshing; cool,❄️
N5,Adjective,semai (狭い),narrow,↔️
N5,Adjective,heta (下手),unskillful; poor; awkward​,💪
N5,Adjective,ooi (多い),many; numerous; a lot; large quantity; frequent,👨
N5,Adjective,kitanai (汚い),dirty,🗑️
N5,Adjective,hosoi (細い),thin; slender,📏
N5,Adjective,nigiyaka (賑やか),bustling;busy,🚌
N5,Adjective,jouzu (上手),skillful; skilled; proficient; good (at),🚶
N5,Adjective,osoi (遅い),slow; time-consuming; late,⏰
N5,Adjective,kurai (暗い),dark; gloomy; murky,⚫
N5,Adjective,chikai (近い),near; close,👂
N5,Adjective,yowai (弱い),weak,😰
N5,Adjective,amai (甘い),sweet; sweet-tasting; sugary; naive; indulgent,🍯
N5,Adjective,mijikai (短い),short,📏
N5,Adjective,ookina (大きな),big; large; great​,🍽️
N5,Adjective,oishii (美味しい),delicious,😋
N5,Adjective,daisuki (大好き),love; like; like very much,❤️
N5,Adjective,nagai (長い),long (distance)​; long (time); lengthy.,⏰
N5,Adjective,mazui (不味い),unpleasant,🤢
N5,Adjective,warui (悪い),bad; poor; undesirable,👎
N5,Adjective,massugu (真っ直ぐ),straight ahead;direct,🧠
N5,Adjective,rippa (立派),splendid,✨
N5,Adjective,kiiroi (黄色い),yellow,🟡
N5,Adjective,hayai (速い),fast; quick; hasty; brisk,⚡
N5,Adjective,konna (こんな),such; like this​,👍
N5,Adjective,tsuyoi (強い),powerful,💪
N5,Adjective,aoi (青い),blue; azure,🔵
N5,Adjective,atsui (暑い),hot; sultry,🔥
N5,Adjective,yuumei (有名),famous,⭐
N5,Adjective,joubu (丈夫),strong; durable,💪
N5,Adjective,kawaii (可愛い),cute,🥰
N5,Adjective,hayai (早い),fast; early,👂
N5,Adjective,urusai (煩い),noisy; annoying,🔊
N5,Adjective,tanoshii (楽しい),enjoyable; fun,😄
N5,Adjective,kirai (嫌い),hate,👎
N5,Adjective,shiroi (白い),white,⚪
N5,Adjective,kirei (綺麗),pretty; lovely; beautiful,❤️
N5,Adjective,suki (好き),like,👍
N5,Adjective,benri (便利),convenient; handy; useful,✋
N5,Adjective,hoshii (欲しい),want,🙏
N5,Adjective,taisetsu (大切),important; necessary; indispensable; beloved,❤️
N5,Adjective,tsumetai (冷たい),cold to the touch,🧊
N5,Adjective,abunai (危ない),dangerous,⚠️
N5,Adjective,takai (高い),high; tall; expensive; above average,🖊️
N5,Adjective,chiisana (小さな),small; little; tiny​,⬇️
N5,Adjective,akarui (明るい),bright; light,✅
N5,Adjective,dono (どの),which,❔
N5,Adjective,yasashii (易しい),easy; simple,👍
N5,Adjective,atsui (厚い),thick,📚
N5,Adjective,atarashii (新しい),new; novel; fresh; recent; latest,✨
N5,Adjective,daijoubu (大丈夫),OK; okay; alright; problem free,✅
N5,Adjective,hiroi (広い),spacious; vast; wide,🏞️
N5,Adjective,iya (嫌),unpleasant,😣
N5,Adjective,iroiro (色々),various,🌈
N5,Adjective,tsumaranai (詰まらない),boring,😑
N5,Adverb,hajimete (初めて),for the first time,⏰
N5,Adverb,douzo (どうぞ),please,🙏
N5,Adverb,onaji (同じ),same,=
N5,Adverb,kekkou (結構),splendid; enough,👌
N5,Adverb,doumo (どうも),thank you; thanks,🙇‍♂️
N5,Adverb,choudo (丁度),exactly,🎯
N5,Adverb,ikaga (いかが),how; in what way; how about​,🎩
N5,Adverb,dou (どう),how; in what way; how about​,🎩
N5,Adverb,naze (何故),why; how,❓
N5,Adverb,chotto (ちょっと),a little,🔢
N5,Adverb,yukkuri (ゆっくり),slowly,🐌
N5,Adverb,hitori (一人),one person​; alone; single,👦
N5,Adverb,sukoshi (少し),a little (bit); small quantity; few; short distance,⬇️
N5,Adverb,sugu ni (直ぐに),immediately; right away; instantly​,✅
N5,Adverb,motto (もっと),more; longer; further,📏
N5,Adverb,dandan (だんだん),gradually,💯
N5,Adverb,ikutsu (いくつ),how many?;how old?,👨
N5,Adverb,ikura (いくら),how much?; how many?​,👨
N5,Adverb,ichiban (一番),number one; first; 1st; first place​; best; most​,🔢
N5,Adverb,tokidoki (時々),sometimes; at times,⏰
N5,Adverb,minna (みんな),all; everyone; everybody,🧍
N5,Adverb,yoku (よく),often; well,👍
N5,Noun,ototoshi (一昨年),year before last,👂
N5,Noun,han (半),half; semi-; half-past,⏮️
N5,Noun,ashi (足),foot; leg; paw; arm,🦶
N5,Noun,mukou (向こう),over there,👉
N5,Noun,wai shatsu (ワイシャツ),shirt,👔
N5,Noun,kyou (今日),today; this day,📅
N5,Noun,toshokan (図書館),library,📚
N5,Noun,tate (縦),length;height,📏
N5,Noun,botan (ボタン),button,🔘
N5,Noun,seetaa (セーター),sweater; jumper,🦘
N5,Noun,taishikan (大使館),embassy,🏛️
N5,Noun,asa (朝),morning,🌅
N5,Noun,karendaa (カレンダー),calendar,📅
N5,Noun,ame (雨),rain,🌧️
N5,Noun,tokei (時計),watch; clock; timepiece,⌚
N5,Noun,man (万),10;000; ten thousand,💯
N5,Noun,yuugata (夕方),evening; dusk,🌆
N5,Noun,soto (外),outside; exterior;,📤
N5,Noun,chawan (茶碗),rice bowl; tea cup; teacup,🍚
N5,Noun,iro (色),colour; color,🎨
N5,Noun,hanbun (半分),half,½
N5,Noun,neko (猫),cat,🐱
N5,Noun,rainen (来年),next year,👂
N5,Noun,teepu rekoodaa (テープレコーダー),tape recorder,📼
N5,Noun,pen (ペン),pen,🖊️
N5,Noun,imouto (妹),younger sister,👧
N5,Noun,erebeetaa (エレベーター),elevator,🛗
N5,Noun,kuchi (口),mouth; opening,👄
N5,Noun,dareka (誰か),someone; somebody,🧍
N5,Noun,hachi (八),eight: 8,8️⃣
N5,Noun,bangohan (晩ご飯),dinner; evening meal,🌆
N5,Noun,daigaku (大学),university; college,🦵
N5,Noun,tegami (手紙),Letter (message)​,✉️
N5,Noun,karada (体),body,🧍
N5,Noun,oozei (大勢),crowd of people; great number of people,🍽️
N5,Noun,aki (秋),autumn; fall,🍂
N5,Noun,konban (今晩),tonight; this evening,🌆
N5,Noun,tanjoubi (誕生日),birthday,🎂
N5,Noun,osara (お皿),plate; dish,🍽️
N5,Noun,konshuu (今週),this week,📅
N5,Noun,yaoya (八百屋),greengrocer; fruit and vegetable shop; versatile,🥬
N5,Noun,beddo (ベッド),bed,🛏️
N5,Noun,kokonotsu (九つ),nine; 9,9️⃣
N5,Noun,hanashi (話),talk; speech; chat; conversation​,🎩
N5,Noun,kudamono (果物),fruit,🍎
N5,Noun,tori (鳥),bird,🐦
N5,Noun,kinyoubi (金曜日),Friday,📅
N5,Noun,itsuka (五日),the fifth day of the month / 5 days,📅
N5,Noun,shatsu (シャツ),shirt,👔
N5,Noun,kyuu (九),nine; 9,9️⃣
N5,Noun,e (絵),picture,🖼️
N5,Noun,apaato (アパート),apartment,🏢
N5,Noun,otouto (弟),younger brother,👦
N5,Noun,kesa (今朝),this morning,🌅
N5,Noun,ofuro (お風呂),bath,🛁
N5,Noun,okashi (お菓子),confections; sweets; candy,🍭
N5,Noun,tabemono (食べ物),food,🍱
N5,Noun,yuki (雪),snow,❄️
N5,Noun,jitensha (自転車),bicycle,🚲
N5,Noun,toire (トイレ),toilet,🚽
N5,Noun,eiga (映画),movie; film,🎬
N5,Noun,hako (箱),box; crate,📦
N5,Noun,raishuu (来週),next week,📅
N5,Noun,umi (海),sea,🌊
N5,Noun,maiasa (毎朝),every morning,🌅
N5,Noun,kaidan (階段),stairs; stairway; staircase,🪜
